"","AvgFunParam","AvgTtlCmplx","Brace","Bracket","Chars","Cmnt","Country","CycloCmplx","Define","eLOC","FunAvgCyc","FunAvgELOC","FunAvgIntrfc","FunCmplx","FunCnt","FunELOC","FunlLOC","FunParam","hr","Ifel","Include","Lang","Lines","Literal","lLOC","LOC","Macros","min","MxCycloCmplx","MxFuneLOC","MxFunParam","MxIntrCmplx","MxTtlCmplx","Name","Paren","Preprocessor","Problem","Rank","Round","sec","Size","TimePM","Yr"
"72",NA,NA,2,8,NA,NA,"China",NA,NA,18,6,13,1,NA,1,NA,NA,NA,5,NA,NA,"C++",NA,NA,NA,22,0,23,NA,NA,NA,NA,NA,"Ahyangyi",12,1,"Speaking in Tongues",9599,"Qualification Round",22,"Small",0.0336840277777778,2012
"73",NA,NA,3,0,NA,NA,"China",NA,NA,33,9,30,1,NA,1,NA,NA,NA,5,NA,NA,"C++",NA,NA,NA,39,0,39,NA,NA,NA,NA,NA,"Ahyangyi",17,1,"Dancing With the Googlers",9599,"Qualification Round",9,"Small",0.035328125,2012
"74",NA,NA,3,0,NA,NA,"China",NA,NA,33,9,30,1,NA,1,NA,NA,NA,5,NA,NA,"C++",NA,NA,NA,39,0,39,NA,NA,NA,NA,NA,"Ahyangyi",17,1,"Dancing With the Googlers",9599,"Qualification Round",44,"Large",0.0353888888888889,2012
"75",NA,NA,NA,NA,NA,NA,"China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"C++",NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,"Ahyangyi",NA,NA,"Safety in Numbers",131,"Round 1B",10,"Small",0.00251736111111111,2012
"76",NA,NA,NA,NA,NA,NA,"China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"C++",NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,"Ahyangyi",NA,NA,"Safety in Numbers",131,"Round 1B",38,"Large",0.00256597222222222,2012
"79",NA,NA,8,6,NA,NA,"China",NA,NA,49,15,43,3,NA,1,NA,NA,NA,0,NA,NA,"C++",NA,NA,NA,65,0,38,NA,NA,NA,NA,NA,"Ahyangyi",31,2,"Equal Sums",131,"Round 1B",7,"Small",0.00397048611111111,2012
"77",NA,NA,12,54,NA,NA,"China",NA,NA,65,8.67,17.67,5.33,NA,3,NA,NA,NA,1,NA,NA,"C++",NA,NA,NA,89,0,10,NA,NA,NA,NA,NA,"Ahyangyi",51,3,"Tide Goes In, Tide Goes Out",131,"Round 1B",7,"Small",0.00730381944444444,2012
"78",NA,NA,12,54,NA,NA,"China",NA,NA,65,8.67,17.67,5.33,NA,3,NA,NA,NA,1,NA,NA,"C++",NA,NA,NA,89,0,10,NA,NA,NA,NA,NA,"Ahyangyi",51,3,"Tide Goes In, Tide Goes Out",131,"Round 1B",38,"Large",0.00735763888888889,2012
"80",NA,NA,4,17,NA,NA,"China",NA,NA,27,9,20,1,NA,1,NA,NA,NA,0,NA,NA,"C++",NA,NA,NA,35,0,16,NA,NA,NA,NA,NA,"Ahyangyi",14,2,"Swinging Wild",108,"Round 2",47,"Small",0.00174826388888889,2012
"81",NA,NA,4,17,NA,NA,"China",NA,NA,27,9,20,1,NA,1,NA,NA,NA,0,NA,NA,"C++",NA,NA,NA,35,0,17,NA,NA,NA,NA,NA,"Ahyangyi",14,2,"Swinging Wild",108,"Round 2",19,"Large",0.00180381944444444,2012
