SolIndex,Name ,Country,Lang,Yr,Round,Rank,Problem,Size,hr,min,sec,Rqmts,,LOC,eLOC,Preprocessor,Macros,Paren,Brace,Bracket,FunCnt,FunAvgELOC,FunAvgIntrfc,FunAvgCyc
1,Eryx,Poland,C++,2012,3,2,Lost Password,Small,1,56,56,,,108,98,39,38,161,15,27,8,6.13,1.75,3.38
2,Eryx,Poland,C++,2012,3,2,Quality Food,Large,1,45,36,,,149,131,38,28,169,25,19,7,11.86,2.57,4.57
3,Eryx,Poland,C++,2012,3,2,Quality Food,Small,1,35,11,,,168,148,39,29,193,30,21,9,10.78,2.22,4.33
4,Eryx,Poland,C++,2012,3,2,Havannah,Large,0,37,27,,,184,168,40,30,214,25,76,13,8.69,3.08,5.23
5,Eryx,Poland,C++,2012,3,2,Havannah,Small,0,36,18,,,184,168,40,30,214,25,76,13,8.69,3.08,5.23
6,Eryx,Poland,C++,2012,3,2,Perfect Game,Large,0,8,6,,,103,94,39,29,157,17,21,8,5.75,1.75,2.75
7,Eryx,Poland,C++,2012,3,2,Perfect Game,Small,0,6,49,,,103,94,39,29,157,17,21,8,5.75,1.75,2.75
8,SnapDragon,Canada,C++,2012,3,3,Lost Password,Small,2,7,13,,,40,35,3,0,28,5,4,2,15,5.5,10.5
9,SnapDragon,Canada,C++,2012,3,3,Quality Food,Large,1,54,0,,,73,60,3,0,61,18,8,3,18,1.67,7
10,SnapDragon,Canada,C++,2012,3,3,Quality Food,Small,1,51,19,,,67,55,3,0,51,16,8,3,16.33,1.67,6
11,SnapDragon,Canada,C++,2012,3,3,Havannah,Large,1,0,2,,,91,77,2,0,40,22,47,3,23,3,14.67
12,SnapDragon,Canada,C++,2012,3,3,Havannah,Small,0,57,58,,,91,77,2,0,40,22,47,3,23,3,14.67
13,SnapDragon,Canada,C++,2012,3,3,Perfect Game,Large,0,15,3,,,26,22,3,0,12,4,4,2,8,2,4
14,SnapDragon,Canada,C++,2012,3,3,Perfect Game,Small,0,14,54,,,26,22,3,0,12,4,4,2,8,2,4
15,Ahyangyi,China,C++,2012,3,6,Lost Password,Small,1,44,47,,,101,75,2,0,43,13,55,3,21.67,4,14.33
16,Ahyangyi,China,C++,2012,3,6,Quality Food,Large,2,16,1,,,78,53,3,0,22,13,13,4,9.5,1.75,4
17,Ahyangyi,China,C++,2012,3,6,Quality Food,Small,2,12,42,,,68,45,3,0,16,12,13,3,10.33,1.67,5
18,Ahyangyi,China,C++,2012,3,6,Havannah,Large,1,14,54,,,211,164,2,0,94,27,140,10,13.9,3.2,8.8
19,Ahyangyi,China,C++,2012,3,6,Havannah,Small,1,12,53,,,211,164,2,0,94,27,140,10,13.9,3.2,8.8
20,Ahyangyi,China,C++,2012,3,6,Perfect Game,Large,0,30,5,,,35,28,2,0,16,4,5,2,9.5,2.5,4
21,Ahyangyi,China,C++,2012,3,6,Perfect Game,Small,0,30,21,,,35,28,2,0,16,4,5,2,9.5,2.5,4
